PROMPTTYPE,Index,Requirement,Ground Truth,Response,Equivalent
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
ADARULE,1,If enqueue(d1) then enqueue(d2) then (Subsequent calls that enqueue d1 and d2 followed by start of),G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2 & F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))),False
